label,label_noisy,city,ground_elevation_m,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,pressure_relative_to_surface_hpa,mag_variance_total,magnetic_field_mean,magnetic_field_delta,gnss_accuracy_m,gps_accuracy_delta,gps_lost_ratio,time_of_day,weather_condition
underground,True,OPO,145.9,996.605,-0.0385,0.037444,1.983,0.5987231469206336,0.015615,31.1148,4.513,4.79,1.62,0.002,afternoon,clear
underground,False,OPO,161.2,996.381,-0.1782,0.071163,-3.963,2.165921882770249,0.363541,66.5518,-11.523,105.45,71.13,0.952,evening,clear
street_level,False,OPO,3.1,1013.231,0.2447,0.008068,2.793,0.35047085710141346,0.057266,45.259,-0.972,10.24,5.6,0.081,afternoon,clear
above,True,OPO,12.7,1010.911,0.009,0.002847,0.965,-0.826215714393129,0.04815,32.8345,-2.8328,5.92,3.29,0.021,night,clear
street_level,False,OPO,79.3,1003.368,-0.2754,0.016356,-1.556,-0.47293230819855125,0.078716,65.2948,1.4359,5.43,2.81,0.017,night,clear
street_level,False,LIS,54.5,1006.508,-0.2383,0.031178,-1.764,-0.26606269076194167,0.039338,35.3231,-7.8021,8.38,3.11,0.0,night,overcast
street_level,False,LIS,29.3,1009.227,0.2261,0.012124,-2.982,-0.5362805630539924,0.007429,35.6789,-2.0544,6.13,1.69,0.014,morning,overcast
underground,False,OPO,148.6,997.48,-0.1239,0.027844,-3.904,1.7900513683084682,0.476333,71.8447,-2.4218,103.81,68.54,0.898,night,overcast
street_level,False,OPO,3.5,1013.912,-0.0458,0.018824,-0.282,1.0791347016676127,0.003092,43.0583,2.5992,6.29,0.86,0.022,afternoon,overcast
above,False,LIS,7.0,1009.471,0.109,0.016842,3.583,-2.944902322654684,0.148704,35.8058,6.7156,11.65,16.42,0.065,afternoon,rain
above,False,LIS,27.0,1007.627,0.1918,0.072237,1.658,-2.4095475969613744,0.131499,70.983,-2.3525,30.49,19.7,0.479,night,rain
street_level,False,LIS,1.3,1011.397,-0.1247,0.007672,0.129,-1.6980442028041125,0.071757,33.0916,3.0743,9.38,2.43,0.025,afternoon,overcast
street_level,False,OPO,35.2,1008.165,0.0856,0.011765,-0.53,-0.8976292460160948,0.058633,39.5214,-0.3052,25.7,12.2,0.043,afternoon,clear
street_level,False,LIS,9.9,1013.492,0.0725,0.028393,-0.732,1.421451245061462,0.083703,48.4242,2.1868,6.07,0.49,0.021,afternoon,clear
underground,False,OPO,99.4,1003.676,-0.1065,0.07889,-5.267,2.2060518044925175,0.324645,118.0259,-17.2331,60.35,47.71,0.995,afternoon,rain
street_level,False,LIS,0.6,1014.732,0.203,0.040369,-0.622,1.553521005111179,0.089129,,-2.1475,9.71,1.53,0.027,evening,rain
street_level,False,OPO,91.0,1001.417,0.2849,0.031072,2.028,-1.0431253277225778,0.023662,31.7882,0.9603,7.01,3.77,0.011,evening,overcast
underground,False,LIS,12.4,1012.205,-0.1058,0.024396,-1.245,0.43207528313257626,0.288914,98.2998,0.0888,179.77,,0.876,morning,clear
underground,False,OPO,12.6,1014.353,-0.0914,0.051783,-2.229,2.603881424817132,0.332656,63.0755,3.048,136.68,22.62,0.801,evening,overcast
street_level,False,LIS,4.5,1011.755,0.2333,0.031838,-0.899,-0.9587154995994069,0.039081,42.9737,-1.4815,10.04,2.35,0.013,afternoon,clear
street_level,False,OPO,2.8,1012.996,-0.0026,0.018454,-1.936,0.07972150167609016,0.019841,44.7267,7.0482,2.21,4.15,0.043,night,clear
street_level,False,LIS,40.3,1008.748,-0.1797,0.031302,0.692,0.2906267365791564,0.021906,65.8727,1.6584,8.36,3.18,0.01,morning,rain
street_level,False,OPO,75.7,1003.842,-0.0163,0.01827,1.424,-0.42417851354548475,0.102281,35.6378,-4.8531,3.88,1.67,0.011,evening,clear
underground,False,LIS,14.1,1013.519,-0.135,0.100925,-3.566,1.948409633966321,1.174192,147.2565,0.2617,81.14,57.42,0.969,afternoon,clear
street_level,False,OPO,151.6,995.578,-0.012,0.011573,-0.924,0.23940934218273924,0.014852,57.4465,4.276,5.91,6.69,0.109,afternoon,overcast
underground,False,OPO,26.8,1011.928,-0.1921,0.093394,-0.846,1.867686557615798,0.170549,94.982,-5.0554,64.04,19.86,0.986,evening,overcast
street_level,False,LIS,15.1,1009.754,0.0627,0.027673,2.227,-1.697589061498661,0.046737,62.1676,1.756,7.06,0.69,0.017,evening,rain
underground,False,LIS,0.0,1016.145,-0.3098,0.194294,-5.599,2.894999999999982,0.220245,90.3785,-21.0992,85.51,37.83,0.842,afternoon,clear
underground,False,LIS,25.4,1014.791,-0.1635,0.091955,-3.841,4.56430998123642,1.111314,150.6207,8.5872,149.85,26.73,0.964,morning,clear
underground,False,LIS,8.8,1013.076,-0.123,0.074288,-3.002,0.8744689341971252,1.027669,173.8124,-21.8964,106.23,27.71,0.994,evening,clear
underground,False,OPO,4.5,1015.445,-0.2128,0.082574,-5.13,2.7312845004006476,0.137498,75.1636,-0.9257,98.75,16.85,0.852,evening,rain
street_level,False,OPO,0.1,1013.591,-0.1051,0.011462,1.185,0.35292051811450165,0.012935,43.3169,2.8994,5.72,-0.43,0.022,night,rain
underground,True,LIS,19.6,1011.746,-0.0296,0.026589,3.911,0.8297435909753403,0.002295,39.7442,0.9187,5.72,3.09,0.033,afternoon,clear
street_level,False,LIS,107.6,1001.314,-0.0472,0.011645,-1.832,0.8097098916064169,0.040487,50.4448,-0.8609,5.91,2.42,0.035,afternoon,clear
underground,False,LIS,24.2,1012.284,-0.1335,0.072743,-3.446,1.9146796748607358,0.287004,111.2445,17.5476,177.56,55.8,0.999,night,clear
street_level,False,LIS,90.6,1004.677,-0.0333,0.035142,1.979,2.1696989681364585,0.049871,49.5809,-2.2248,4.3,3.82,0.022,morning,clear
street_level,False,OPO,31.5,1008.077,0.1213,0.026896,0.078,-1.424963885819352,0.021471,49.2841,-5.2756,17.06,7.05,0.068,afternoon,clear
street_level,False,OPO,84.4,1001.48,-0.1036,0.019771,0.247,-1.7588084040487502,0.073545,49.5459,-0.9143,29.83,11.49,0.144,evening,overcast
street_level,False,LIS,27.6,1010.076,0.0444,0.020534,0.389,0.11074658422137418,0.029735,42.1648,1.3782,23.4,8.59,0.046,night,rain
above,False,OPO,18.2,1011.016,0.1481,0.044987,0.949,-0.0667739758564494,0.052659,55.8819,2.4039,9.72,1.18,0.331,afternoon,clear
street_level,False,LIS,39.5,1010.084,0.0517,0.028207,-1.213,1.531708634784195,0.06924,39.7667,-1.9368,29.03,11.11,0.017,afternoon,clear
street_level,False,LIS,109.9,1000.021,-0.1599,0.030537,-0.027,-0.21260204228360635,0.024112,70.5598,0.2286,8.9,0.88,0.032,evening,rain
above,False,OPO,114.1,995.526,0.1274,0.059294,2.952,-4.2134910528662886,0.14685,41.8879,-3.3294,11.69,12.1,0.08,afternoon,clear
street_level,False,OPO,46.5,1008.046,0.0373,0.006967,-0.414,0.32393920345839433,0.033798,29.4997,-3.8875,26.99,9.32,0.051,afternoon,clear
above,False,OPO,155.8,993.002,0.0594,0.052806,4.482,-1.8448977824418762,0.215618,47.1705,-1.1739,15.3,8.25,0.29,afternoon,rain
street_level,False,LIS,10.0,1011.852,0.0164,0.053447,1.877,-0.2066421126393152,0.062745,41.1352,-1.6777,17.33,12.74,0.0,morning,overcast
street_level,False,OPO,153.7,995.455,0.117,0.029155,1.727,0.3622861491362528,0.049075,80.0933,-3.3177,7.71,1.43,0.043,afternoon,clear
street_level,False,OPO,118.0,996.432,-0.1064,0.026945,0.029,-2.8488922670910597,0.093078,36.2843,1.8512,10.93,14.94,0.104,morning,overcast
underground,False,LIS,13.4,1013.459,-0.066,0.101242,-4.918,1.8051003903084393,0.452541,106.6258,-37.1106,176.16,38.37,0.803,evening,rain
street_level,False,OPO,18.9,1010.737,-0.0873,0.017546,1.954,-0.2625117641376846,0.050795,45.7425,-1.2837,9.55,2.94,0.022,afternoon,overcast
street_level,False,LIS,15.4,1010.832,0.1656,0.001516,0.822,-0.5838914000825071,0.044459,45.3262,-1.1008,6.02,2.04,0.009,morning,clear
street_level,False,OPO,162.8,995.734,0.0565,0.026187,1.28,1.7060506377453066,0.07052,43.7111,5.475,6.61,3.48,0.042,afternoon,clear
above,False,OPO,12.3,1008.129,0.0905,0.099166,3.95,-3.655827997765755,0.144578,58.4796,-1.9413,17.32,9.74,0.181,morning,clear
street_level,False,LIS,24.1,1010.815,-0.2246,0.022274,-0.418,0.4337929070525206,0.031038,54.06,-3.7282,22.62,14.22,0.117,afternoon,clear
street_level,False,OPO,161.2,992.647,0.1253,0.012905,1.783,-1.5680781172296747,0.00366,35.2639,4.2728,8.31,3.22,0.027,evening,rain
street_level,False,LIS,28.9,1007.244,-0.0821,0.025597,0.276,-2.566799953175064,0.036995,75.72,1.6047,6.41,0.81,0.049,night,overcast
underground,False,LIS,105.5,1002.043,-0.2189,0.049809,-1.95,1.2914959418197896,0.17883,76.781,5.7078,140.44,55.55,0.992,evening,overcast
above,False,OPO,95.5,1001.482,0.0307,0.069567,0.761,-0.44755160210411304,0.172129,40.487,-2.6331,10.02,12.54,0.256,evening,clear
underground,False,LIS,24.4,1011.304,-0.1425,0.044084,-9.152,0.9584527909482858,0.351419,89.8797,12.344,124.13,37.62,0.856,night,overcast
above,True,OPO,19.2,1012.295,-0.2109,0.119412,-0.527,1.331169941890721,0.442008,66.4596,10.6036,100.39,71.45,0.871,evening,overcast
underground,False,OPO,24.0,1010.932,-0.1408,0.083818,-8.421,0.538905999399276,0.340236,116.4262,14.4052,104.77,47.64,0.936,morning,rain
street_level,False,LIS,119.8,998.557,0.1265,0.014187,-0.909,-0.5123022472861294,0.08305,50.7148,-0.4852,11.04,1.03,0.019,morning,overcast
street_level,False,OPO,55.4,1007.602,0.2363,0.008757,-0.293,0.9345312725664598,0.013346,41.739,-3.0849,6.74,0.43,0.012,afternoon,overcast
underground,False,LIS,51.5,1006.982,-0.0071,0.124093,-1.029,-0.14745742591685485,0.540617,73.4472,5.7589,182.27,21.82,0.986,afternoon,overcast
above,False,OPO,51.1,1006.783,0.0646,0.037968,0.861,-0.3938528685032452,0.142748,51.86,-0.2108,2.61,13.08,0.201,morning,clear
street_level,False,LIS,3.6,1013.085,0.2892,0.029643,1.694,0.2640503123440112,0.012479,35.0572,-0.5692,21.05,10.03,0.071,afternoon,clear
above,True,LIS,16.5,1012.06,-0.1443,0.040992,-2.644,0.7749892463447168,0.118897,107.4748,-0.6148,120.12,39.49,0.913,morning,overcast
underground,False,OPO,107.1,1000.126,0.2468,0.140057,-1.785,-0.43714503293961116,0.61813,166.4755,-17.6575,148.93,29.01,0.815,afternoon,overcast
street_level,False,OPO,11.7,1011.876,0.2232,0.030544,-0.692,0.019749375959577264,0.058405,46.854,4.5415,7.83,3.73,0.032,afternoon,overcast
street_level,False,LIS,15.4,1013.237,0.1333,0.009649,-0.08,1.8211085999174657,0.033294,67.8118,0.5259,23.24,12.17,0.07,evening,overcast
street_level,False,LIS,7.0,1010.282,0.1568,0.020027,-2.191,-2.1339023226546487,0.063683,70.2374,3.4343,2.2,2.46,0.0,morning,clear
street_level,False,LIS,9.3,1012.37,-0.2478,0.015088,1.054,0.2280084495509982,0.075938,,-1.7077,5.83,1.26,0.05,morning,clear
street_level,False,LIS,73.4,1006.289,0.1423,0.01841,2.137,1.7510421049516935,0.081201,41.9155,2.0033,9.84,1.37,0.0,night,rain
underground,False,LIS,46.4,1009.456,0.1305,0.052843,-4.769,1.7220835800630994,0.481615,90.4514,-6.3069,39.25,74.09,0.892,morning,rain
underground,False,OPO,30.8,1009.708,-0.2479,0.137881,-2.145,0.12289723501248773,0.372804,77.3582,26.9854,133.14,32.17,0.91,evening,clear
street_level,False,OPO,29.6,1010.281,-0.2401,0.016678,-0.483,0.5533575120548448,0.02923,39.5799,-3.188,4.21,1.38,0.043,evening,clear
underground,False,OPO,18.4,1011.124,-0.0244,0.002323,-4.057,0.0650159271784787,0.247489,102.1294,-0.1845,148.66,71.68,0.835,evening,overcast
street_level,False,OPO,23.9,1009.416,-0.1745,0.020248,2.125,-0.9889810481008681,0.097264,48.9191,-2.1664,7.83,0.83,0.032,morning,clear
underground,False,OPO,0.3,1015.03,,0.1358,-7.341,1.8157611336232549,0.4019,99.5514,0.1529,132.46,43.51,0.919,morning,rain
street_level,False,LIS,14.7,1010.758,-0.3123,0.017006,-1.722,-0.7411879033007835,0.017479,54.7752,-1.3436,0.94,1.25,0.005,night,clear
street_level,False,OPO,130.1,998.9,0.0161,0.006367,-2.416,1.0406014645506048,0.007237,50.9339,-1.0721,5.15,1.41,0.0,morning,rain
street_level,False,OPO,12.2,1010.263,0.2029,0.02681,-1.893,-1.533731418703269,0.063475,57.251,3.8199,10.91,2.19,0.006,morning,rain
above,False,OPO,40.0,1006.963,0.124,0.05681,2.674,-1.5299665047073177,0.114191,62.9342,-1.8334,13.54,10.71,0.201,morning,clear
street_level,False,LIS,86.4,1004.503,-0.2043,0.041067,-1.307,1.5002200170256401,0.061931,71.0422,-0.1984,8.06,1.49,0.012,night,overcast
street_level,False,OPO,4.4,1013.035,0.1519,0.037849,-1.973,0.3093701513105316,0.027465,54.2465,0.8391,,1.08,0.007,night,clear
underground,False,OPO,126.1,998.442,-0.2085,0.043145,-1.409,0.11291006416649907,0.207887,102.4476,-3.6209,105.58,26.38,0.919,morning,overcast
street_level,False,OPO,21.4,1010.675,-0.0207,0.014421,-2.635,-0.027202690625813375,0.006016,35.1572,-0.184,6.84,4.69,0.041,night,clear
underground,False,OPO,36.9,1008.623,-0.0843,0.116402,-1.67,-0.23783690007405767,0.414299,59.9937,-17.8471,88.56,62.7,0.85,morning,clear
underground,False,OPO,38.5,1010.732,-0.1303,0.094571,-1.586,2.061048444161088,0.521246,72.7246,1.7007,181.18,25.42,0.829,afternoon,overcast
above,False,LIS,81.8,1001.712,-0.0191,0.068483,8.884,-1.8337283896357803,0.132376,67.3811,-0.5647,24.4,4.9,0.275,evening,clear
above,False,OPO,23.9,1008.282,0.1099,0.080455,4.3,-2.1229810481008826,0.094025,38.7577,4.2537,25.14,21.38,0.638,afternoon,overcast
above,False,LIS,22.0,1008.121,-0.1732,0.042494,10.81,-2.5098615236831847,0.239191,45.8779,-0.3018,15.51,2.19,0.067,afternoon,clear
street_level,False,LIS,75.9,1004.827,0.0913,0.020231,2.253,0.5844510008948873,0.040207,40.9658,0.3873,6.8,2.13,0.035,night,clear
underground,False,OPO,140.4,997.252,-0.1322,0.13586,-1.214,0.6010399457085214,0.338311,63.4966,-6.663,164.45,38.0,0.927,afternoon,rain
underground,False,LIS,2.4,1015.191,0.1159,0.066947,-4.777,2.2270537316903756,1.186815,129.4256,-4.6829,157.11,59.78,0.834,afternoon,clear
street_level,False,OPO,12.9,1011.826,0.2462,0.069621,0.492,0.11258958708981481,0.049167,43.3604,-0.4633,6.19,1.11,0.015,night,clear
street_level,False,LIS,60.6,1006.85,-0.1541,0.015724,-0.625,0.7981865632038989,0.058376,56.1754,4.8007,8.48,3.47,0.037,night,clear
underground,False,OPO,94.5,1006.321,-0.1309,0.093499,-3.174,4.273567398961177,0.834201,116.6811,-11.8027,35.67,61.73,0.922,morning,clear
underground,False,OPO,38.6,1011.915,-0.1521,0.099527,-2.524,3.25591509143419,0.260784,96.9537,-2.8969,141.84,73.64,0.857,morning,overcast
above,False,LIS,6.7,1008.595,-0.1718,0.093812,6.599,-3.856635279196894,0.22144,58.7325,-2.6807,41.92,26.16,0.693,night,overcast
street_level,False,LIS,18.4,1010.518,-0.0627,0.019698,-1.287,-0.5409840728215158,0.062699,49.5994,3.566,15.98,3.32,0.105,morning,rain
underground,False,OPO,13.8,1013.123,-0.2225,0.143611,-1.359,1.5167065124902592,0.232827,112.5719,-2.4915,183.46,68.58,0.98,evening,clear
underground,False,LIS,5.4,1014.32,0.1584,0.105915,-4.382,1.7135073348504193,0.716169,173.3801,20.4252,72.59,49.93,0.885,night,clear
underground,False,OPO,67.9,1008.076,-0.2364,0.066912,-7.135,2.8878366178126953,0.681904,173.9241,-2.6557,91.24,21.27,0.962,evening,overcast
underground,False,OPO,0.9,1015.645,-0.1107,0.090795,-4.94,2.502279614508325,0.09209,78.1481,-3.4913,141.41,45.92,0.858,morning,clear
underground,False,LIS,115.7,1000.551,-0.0323,0.023193,-4.958,0.9996774937367263,0.40509,56.941,11.865,69.42,24.95,0.968,morning,overcast
underground,False,OPO,122.4,1000.316,0.2584,0.034838,-1.1,1.552248687934707,0.988967,153.1324,-2.3688,44.56,48.32,0.863,afternoon,rain
street_level,False,OPO,14.6,1010.21,-0.0697,0.015143,-2.538,-1.3010879637470225,0.02973,40.1101,-4.847,5.64,3.52,0.027,afternoon,clear
underground,False,OPO,11.6,1015.364,-0.282,0.095342,-4.763,3.495845114750864,0.497813,100.4261,10.8518,98.6,61.33,0.993,morning,rain
street_level,False,OPO,157.5,993.543,-0.0456,0.016682,0.503,-1.104948298496879,0.023395,34.7802,-7.0679,17.36,4.06,0.02,morning,clear
underground,False,OPO,19.6,1013.902,-0.0987,0.034963,-8.731,2.985743590975403,1.047578,130.2322,-10.1394,96.6,35.05,0.861,evening,overcast
street_level,False,OPO,97.0,999.702,-0.0855,0.012058,0.349,-2.0507561048240177,0.032819,44.961,0.66,4.35,0.81,0.0,evening,clear
underground,False,LIS,74.8,1005.296,-0.2595,0.063688,-7.047,0.9234817908451305,0.268635,66.5392,4.6991,91.49,18.3,0.906,evening,clear
street_level,False,LIS,17.7,1013.8,-0.0896,0.037494,0.542,2.6577488175383905,0.045129,75.3749,2.9027,4.19,2.71,0.004,night,clear
underground,False,OPO,51.1,1011.445,0.2034,0.062223,-4.219,4.268147131496789,0.255148,55.6507,-8.3828,29.38,16.01,0.878,morning,clear
street_level,False,OPO,25.1,1009.453,0.0323,0.017396,1.138,-0.8093457076256527,0.089384,40.9365,-1.3317,5.44,1.01,0.044,afternoon,clear
underground,False,OPO,88.3,1004.225,-0.2135,0.047293,-1.292,1.446395582583932,0.312887,105.37,0.7955,172.95,70.66,0.991,afternoon,rain
street_level,False,LIS,59.6,1006.793,-0.0002,0.044329,-0.657,0.6228205637596602,0.043094,39.1647,6.938,25.38,10.87,0.135,afternoon,clear
street_level,False,LIS,20.7,1009.746,-0.028,0.002264,2.508,-1.0394404170597227,0.097732,38.3562,-0.3286,24.87,6.3,0.1,night,rain
street_level,False,OPO,25.1,1010.238,-0.1586,0.002615,0.067,-0.024345707625570867,0.010011,50.9065,-1.4636,3.25,3.8,0.041,morning,clear
underground,False,OPO,9.5,1010.909,-0.1154,0.105535,-0.701,-1.2091767249409031,0.427191,96.6026,2.3123,105.44,29.79,0.965,night,clear
street_level,False,LIS,1.5,1010.65,0.1809,0.022218,-1.943,-2.4212069527917492,0.051265,66.1161,-3.1196,7.71,1.93,0.0,evening,clear
street_level,False,LIS,79.2,1004.325,0.0758,0.027482,-0.205,0.47225772900992524,0.015368,35.7358,0.0962,6.28,2.61,0.032,morning,overcast
street_level,False,LIS,100.1,1001.025,0.1548,0.026192,1.544,-0.362477595668679,0.04698,44.0853,6.1048,10.79,4.82,0.1,afternoon,rain
underground,False,LIS,98.1,1003.249,-0.0662,0.116668,-2.769,1.6258740991248715,0.71053,80.1625,-19.0957,199.75,63.65,0.874,morning,clear
underground,False,LIS,21.7,1011.816,-0.081,0.12777,-4.721,1.149468522326515,0.558579,105.1441,3.9777,81.2,32.93,0.825,night,overcast
street_level,False,LIS,1.8,1011.801,-0.0149,0.009452,0.743,-1.234452129399756,0.035354,34.9073,2.4528,26.14,14.48,0.062,afternoon,clear
street_level,False,OPO,135.9,998.133,-0.2169,0.033222,-0.629,0.9542615084205863,0.028284,37.3991,0.401,23.71,9.06,0.0,afternoon,clear
underground,False,OPO,25.4,1010.943,-0.067,0.159008,-2.433,0.7163099812363498,0.27468,96.8326,-7.8873,106.96,30.98,0.989,night,clear
street_level,False,OPO,12.1,1010.059,-0.4572,0.010014,0.388,-1.749634979682014,0.02615,52.0488,1.2534,9.9,0.5,0.03,afternoon,rain
street_level,False,OPO,30.4,1012.13,-0.2064,0.02542,-2.136,2.4973862299264056,0.082057,42.9195,-3.27,6.33,1.72,0.031,afternoon,rain
underground,False,LIS,38.1,1010.041,-0.1852,0.058071,-2.478,1.32258045896765,0.921738,167.1386,-8.9279,178.42,37.33,0.84,morning,rain
street_level,False,LIS,60.0,1004.808,0.0305,0.029585,2.335,-1.3148313654068033,0.014201,37.3715,0.7057,12.65,7.88,0.125,evening,clear
street_level,False,LIS,108.4,1003.698,0.2278,0.024372,0.562,3.2878705701034505,0.027204,58.3602,0.7537,27.71,14.11,0.041,morning,overcast
street_level,False,OPO,1.3,1014.269,0.0135,0.006717,0.819,1.1739557971958448,0.021461,33.8035,-2.8788,19.09,13.9,0.13,afternoon,clear
above,False,OPO,6.3,1009.859,0.0205,0.056114,8.397,-2.6402811831047757,0.046641,63.502,-9.6048,8.67,16.16,0.341,night,clear
street_level,False,LIS,1.9,1014.608,0.15,0.037514,2.465,1.5844658646368543,0.039606,47.8183,2.9582,22.38,3.8,0.105,evening,clear
street_level,False,OPO,27.4,1010.658,0.2523,0.028728,-0.793,0.6689824163283902,0.024933,50.2106,-3.2881,23.44,5.27,0.022,evening,rain
underground,False,OPO,4.5,1014.64,-0.2439,0.072074,-3.897,1.926284500400584,0.697254,77.517,8.5605,142.51,21.24,0.829,afternoon,clear
underground,False,LIS,29.0,1011.26,0.1186,0.001719,-2.929,1.4610801040004162,0.381477,56.8079,-10.924,187.56,29.57,0.973,afternoon,overcast
street_level,False,LIS,101.8,1000.291,-0.287,0.018152,-0.352,-0.8962201265640033,0.03503,45.3561,-0.8169,16.46,10.61,0.081,night,overcast
street_level,False,OPO,20.4,1011.334,-0.0891,0.03302,-2.266,0.5128841731278726,0.025357,30.5253,-1.1178,22.59,5.12,0.004,afternoon,clear
street_level,False,OPO,137.1,996.498,0.1946,0.019414,1.059,-0.5399702535488586,0.02261,57.6146,-2.9077,24.7,13.9,0.115,afternoon,clear
street_level,False,LIS,12.1,1010.542,0.1023,0.021189,-0.99,-1.2666349796819532,0.022362,46.4627,1.6231,26.46,10.73,0.126,evening,rain
street_level,False,LIS,117.6,997.082,0.2338,0.029933,-0.615,-2.2459183567441414,3.4e-05,64.7347,3.6773,3.07,1.38,0.035,afternoon,clear
street_level,False,OPO,19.0,1010.195,0.0043,0.021191,0.772,-0.7926177221996795,0.042925,50.2325,3.9828,15.31,13.09,0.045,afternoon,clear
street_level,False,OPO,88.1,1002.707,-0.1259,0.00784,1.912,-0.09519948569618464,0.056744,,-3.1894,9.96,1.8,0.018,afternoon,clear
underground,False,OPO,35.9,1011.667,-0.1065,0.061451,-6.26,2.687466607692727,0.290789,61.2253,20.8623,109.41,30.89,0.838,afternoon,rain
street_level,False,OPO,126.4,997.446,0.1028,0.005088,-1.064,-0.8478554132721001,0.005792,52.4097,-1.1222,5.57,0.31,0.007,afternoon,overcast
underground,False,LIS,115.9,999.587,-0.2765,0.036179,-4.013,0.05919607169369101,0.519678,103.6528,18.5991,,24.76,0.983,evening,clear
underground,False,LIS,27.9,1012.459,-0.1701,0.046972,-2.431,2.5293917876581418,0.357994,124.7522,-31.0227,197.35,61.24,0.859,afternoon,clear
street_level,False,LIS,48.6,1006.044,-0.015,0.010876,0.679,-1.4291249219249949,0.065506,47.4418,-0.6952,2.72,4.72,0.015,afternoon,clear
street_level,False,OPO,138.6,998.165,-0.0249,0.014942,-4.094,1.302962099655133,0.056192,64.3131,-1.8724,6.03,0.48,0.039,night,clear
above,False,OPO,22.6,1010.228,-0.1542,0.05113,3.368,-0.33152539240984424,0.177918,35.7748,-3.2143,23.1,29.71,0.626,morning,clear
street_level,False,LIS,25.9,1010.674,-0.0338,0.049295,-0.306,0.5067333328863697,0.031134,52.4128,-3.1276,5.95,0.86,0.0,morning,overcast
street_level,False,OPO,32.3,1008.27,-0.1779,0.042543,0.205,-1.1369564072875846,0.042674,41.2265,4.5095,26.67,12.46,0.086,morning,clear
street_level,False,OPO,87.0,1003.306,-0.1495,0.026246,-1.17,0.3740177144879908,0.033938,46.4456,3.3722,4.52,1.11,0.0,night,clear
underground,False,OPO,139.4,998.832,0.2217,0.034504,-3.023,2.063779994075503,0.69251,55.8624,-4.7543,153.62,40.96,0.948,afternoon,rain
street_level,False,OPO,28.7,1011.33,-0.0183,0.011539,0.845,1.495439513173892,0.009622,32.5276,0.643,9.26,3.45,0.006,afternoon,overcast
underground,False,LIS,32.1,1012.154,-0.0976,0.108531,-1.965,2.723292561374137,0.396827,81.7933,4.0657,,37.41,0.815,afternoon,overcast
street_level,False,OPO,59.5,1005.79,-0.1152,0.011833,-1.329,-0.39201680210055656,0.071424,31.8856,4.0985,6.5,2.5,0.0,evening,clear
underground,False,OPO,6.3,1014.152,-0.045,0.116933,-7.638,1.6527188168952307,0.291504,94.877,-8.1592,188.69,43.53,0.956,morning,clear
above,False,LIS,91.0,1002.798,0.2084,0.051799,5.455,0.337874672277394,0.214666,62.1713,2.187,33.22,24.69,0.406,evening,clear
street_level,False,LIS,14.9,1009.421,-0.1905,0.039472,-1.517,-2.054388202406585,0.042203,42.1081,-3.1036,5.63,3.66,0.007,morning,clear
street_level,False,LIS,114.6,998.91,-0.2091,0.050582,-0.789,-0.7706845771293729,0.02436,33.419,1.7247,22.73,11.16,0.1,morning,rain
street_level,False,OPO,117.6,998.51,-0.0891,0.042795,0.269,-0.8179183567441441,0.054163,38.875,5.3174,10.04,2.16,0.022,afternoon,clear
