session_id,window_duration_s,pressure_hpa,pressure_delta_hpa,pressure_variance,altitude_change_m,city_baseline_pressure,mag_x,mag_y,mag_z,mag_variance_total,mag_distortion_score,gnss_accuracy_m,hdop,satellite_count,gnss_signal_drop,weather_condition,time_of_day,label_ground_truth
41c3dc4a-9a02-4c6d-8dd1-341def41612c,60.0,990.763,0.298,0.514563,-2.474,990.464,1.537,-6.5881,59.6071,85.513705,0.6678,10.17,3.36,11,False,rain,afternoon,underground
6f59f411-ec99-4a25-b24b-ca8fbbc65d2c,60.0,1004.74,-0.0898,0.136059,0.746,1004.83,32.711,-7.3775,21.7472,6.445739,0.1039,16.94,3.83,13,False,rain,morning,street_level
d89ba6ac-6512-4a9c-8766-33d106901f12,60.0,1009.326,-0.0474,0.043215,0.393,1009.373,8.694,-23.3427,27.7628,73.099321,0.8805,18.58,4.85,10,False,rain,morning,street_level
0d71cf25-4379-4bb3-b954-aa913bc62021,60.0,1018.404,1.1592,0.401582,-9.621,1017.244,17.9409,-11.862,51.1051,63.383579,1.0,8.37,5.95,8,False,rain,evening,underground
f5b0a138-cb80-450a-9398-2a677b567542,60.0,1016.636,-0.43,0.054369,3.569,1017.066,2.8554,-4.6332,48.4118,71.303277,0.5277,4.93,2.23,12,False,overcast,night,street_level
ee4c52ac-7e6b-48fe-8e96-fb06cd9abb26,60.0,1008.449,-1.0672,0.505057,8.858,1009.516,29.7709,-14.729,51.3845,77.876192,1.0,12.85,3.14,17,False,clear,night,above
272b2825-364b-437e-b389-5e6cb806e324,60.0,999.257,-1.2591,0.399199,10.451,1000.516,21.9283,-1.7564,20.9369,35.293903,0.0162,27.14,6.66,6,True,overcast,evening,street_level
afdf72f0-6f23-4c6f-ab97-974669f38a58,60.0,991.283,-1.1066,0.463046,9.185,992.39,-5.037,-21.5773,64.9195,65.378582,0.7605,60.72,7.43,1,True,overcast,evening,above
41c9d8ec-cfda-4487-8168-11d2944a7d8d,60.0,993.57,-1.2823,0.430099,10.643,994.852,0.8012,-13.5609,68.0801,74.432407,1.0,25.1,13.61,0,True,clear,morning,above
4512f740-bb3e-4793-b0ca-b4ad02c0d53f,60.0,990.717,-2.0228,0.375389,16.789,992.739,20.1535,-24.7226,46.9316,96.29203,0.897,73.83,2.26,5,True,overcast,afternoon,street_level
a77a2bfb-2745-4407-87dc-c6cd330df885,60.0,993.164,1.188,0.445285,-9.861,991.976,18.3725,-17.2965,43.114,109.65042,0.4524,73.74,12.21,0,True,clear,afternoon,underground
2b28290a-bfb0-4858-8529-32b4d39edd0b,60.0,1000.117,1.186,0.572553,-9.844,998.931,29.1556,-10.3135,41.7599,30.430209,0.6744,5.37,1.16,15,False,rain,evening,street_level
eed8ef3c-a991-4538-b658-723731f63eca,60.0,1001.681,1.2646,0.357396,-10.496,1000.417,34.2371,-13.5884,52.8096,90.635409,0.8627,18.12,5.86,5,False,overcast,evening,underground
c38d722c-f20d-4913-bb5e-ae2cc1508485,60.0,990.326,0.0226,0.090281,-0.188,990.303,29.4252,-10.1837,26.5412,-1.880677,0.366,68.16,11.17,4,True,rain,evening,street_level
fc7fa571-7d7d-4621-8685-7b86f9a68d05,60.0,991.652,0.0406,0.059128,-0.337,991.612,33.0881,7.3153,32.8393,62.387944,0.3309,8.53,2.31,14,False,overcast,evening,street_level
97cd92b2-9bc0-4ef8-b929-9973045b9114,60.0,1015.489,-1.034,0.312111,8.583,1016.523,31.5629,-2.6097,41.3331,57.441894,0.6489,34.76,8.88,4,True,overcast,morning,above
70df089f-e059-4285-8153-a001e4649e27,60.0,999.126,-1.3704,0.106077,11.374,1000.496,26.0934,-16.4791,67.8995,66.741317,0.8959,12.37,2.05,23,False,overcast,afternoon,above
d486ef7d-83f2-4e43-9b83-32dd3e896db9,60.0,1007.205,-0.3665,0.575206,3.042,1007.572,-0.3259,5.489,12.848,62.226702,0.8941,2.74,2.78,13,False,overcast,afternoon,above
ddf4f041-a987-4f0d-8094-b0631fa72b4f,60.0,995.042,2.8655,0.660346,-23.784,992.177,40.3081,-11.7181,58.5672,36.129445,0.943,21.44,1.3,3,False,rain,night,street_level
3faf1549-ae3a-4a5c-86c7-ab729e8fac51,60.0,1002.679,1.0642,0.699831,-8.833,1001.615,28.0324,5.9067,63.1206,70.131092,0.7094,53.74,7.2,0,True,overcast,afternoon,underground
d80b5709-55a1-48b2-8367-00990b8e17ba,60.0,998.776,-1.253,0.360082,10.4,1000.029,15.9636,12.3357,53.1674,69.249323,0.9383,60.4,9.42,0,True,rain,morning,above
4a2a14d2-cf1b-41ef-8ec2-d7068c9250a4,60.0,993.484,-2.4793,0.378106,20.579,995.963,19.1668,-4.239,39.5096,28.002016,0.0,25.03,-0.07,3,False,clear,evening,street_level
2075142a-5d62-4f94-9d4c-721102e02bbf,60.0,1003.704,-0.0895,0.177328,0.743,1003.793,15.2096,-16.7003,32.8649,79.164956,0.512,25.47,3.42,16,False,rain,morning,underground
c9fdb20a-e459-4d72-8e2a-485d74068e87,60.0,989.875,-1.2688,0.116527,10.531,991.144,23.2097,-11.6849,36.6855,6.977334,0.4425,27.72,2.05,8,False,overcast,evening,street_level
4450a6bc-5ddc-4fd4-acf2-d0b7ef237553,60.0,1013.332,0.7588,0.327854,-6.298,1012.574,34.5293,-24.584,41.1922,2.272134,0.9101,18.81,0.52,12,False,overcast,night,street_level
4830e42e-0bcb-454e-a6f9-14271c62173d,60.0,1002.406,-0.1212,0.112043,1.006,1002.528,42.1992,-8.8395,27.0807,43.468434,0.5691,34.87,5.76,7,False,overcast,night,underground
d9f80663-a1ed-4a30-b1e5-7ed3967c3a0c,60.0,1008.739,2.307,0.262832,-19.148,1006.432,16.4226,-16.8716,30.6101,77.785326,1.0,12.22,2.19,10,False,rain,afternoon,street_level
a6ff7492-39b0-49ff-a506-cca137632818,60.0,993.114,-1.3848,0.722574,11.494,994.499,31.3309,-2.4862,25.3367,-25.082786,0.7054,10.09,0.64,9,False,overcast,evening,street_level
f035d139-12a5-4918-a24f-c6c360944acd,60.0,1015.503,-0.5191,0.193522,4.309,1016.023,6.4353,-0.4211,15.0772,45.918521,0.1988,1.86,2.05,15,False,overcast,night,above
aa40847a-d27d-4721-82af-4a5e7f8cadb9,60.0,993.813,-0.5088,0.167207,4.223,994.322,41.6235,-47.0747,28.0466,90.15732,0.5058,14.18,0.87,16,False,rain,evening,above
0436f837-8957-4dc6-8c18-2c85ce7aad76,60.0,999.928,0.1596,0.099872,-1.324,999.768,15.2141,-1.8478,55.5238,42.516731,0.5763,33.11,10.35,2,True,clear,night,street_level
0e87a6e3-fe0e-472c-9544-7f7e7a200e05,60.0,1004.287,-0.3584,0.66245,2.974,1004.646,16.7135,2.4411,6.833,14.853805,0.0,45.37,14.71,3,True,clear,morning,street_level
47540c71-9090-4ab6-82e7-ca089a2a4383,60.0,1015.306,-0.0753,0.097879,0.625,1015.381,26.0573,-26.3709,27.745,60.154892,0.3754,19.73,2.12,9,False,overcast,afternoon,street_level
c54e638d-c640-437b-af41-a34b54c6e160,60.0,1009.461,-1.3695,0.271041,11.367,1010.83,34.6034,10.7885,55.129,97.174374,0.5388,38.59,7.62,3,True,rain,morning,above
78ea7346-c7ae-4af0-b0ff-56a3b6bc4014,60.0,1004.996,-0.1998,0.450035,1.659,1005.196,21.9383,-8.3591,50.8865,47.728916,0.2351,65.6,8.62,2,True,rain,night,underground
ea904f6a-4ce9-4de2-ab98-16f660df321e,60.0,1008.721,-0.7852,0.403358,6.517,1009.506,36.4129,-35.387,62.9433,104.829666,0.5222,5.05,1.87,14,False,rain,morning,above
cbf6371b-e957-4e3c-ae87-3ff39d339479,60.0,990.977,-0.5561,0.299084,4.616,991.533,45.0353,-13.8939,17.4529,85.579265,0.6683,3.55,0.7,12,False,overcast,morning,above
69f4883b-077f-4413-9f88-bb0c403e81c5,60.0,992.346,-1.5975,0.281197,13.26,993.944,20.8883,-9.7911,39.6381,111.223902,0.9316,8.66,0.89,24,False,overcast,evening,above
09798c3b-5f2b-4b88-ba0f-42bdcf08d4b4,60.0,995.665,-0.2123,0.336033,1.762,995.877,36.3726,8.6913,8.8991,47.178855,0.6766,8.73,3.5,3,False,rain,morning,above
a6a5c791-1b65-469f-ab29-b28b18683a9c,60.0,995.035,0.6885,0.262447,-5.714,994.347,20.4498,-20.5671,29.0753,42.235604,1.0,22.85,2.45,7,False,rain,afternoon,underground
22589f6c-64d0-4bb7-94de-a39ac84d368f,60.0,1009.407,0.5936,0.159665,-4.927,1008.813,29.239,-1.1035,35.3568,90.346598,0.5119,52.78,15.48,0,True,clear,evening,underground
2226c5fe-9142-4dfb-95e2-ea3c298fd257,60.0,989.257,-1.1075,0.270909,9.192,990.364,46.3219,-41.2289,65.4468,47.391408,0.2979,21.65,10.52,0,True,clear,morning,above
1bb723b1-367b-447c-8ae6-fe8453b273fe,60.0,997.669,-0.5762,0.111235,4.782,998.245,17.2402,-9.7235,45.2137,72.695044,0.2225,24.78,10.86,2,True,rain,afternoon,above
5d8229e5-5738-49b2-9e41-d92c69bf16a0,60.0,994.673,-0.1341,0.101199,1.113,994.807,32.0989,-4.2458,4.4542,28.840446,0.7948,3.97,2.77,11,False,rain,afternoon,street_level
213f9365-eac4-4e20-a367-cd49eebde980,60.0,990.308,-1.0075,0.222675,8.362,991.315,-6.3036,21.2197,35.4317,26.899619,0.4504,16.71,1.12,16,False,overcast,morning,above
cc4ea596-295e-45e5-840b-cfca70bf8835,60.0,1015.732,-0.4991,0.397539,4.143,1016.231,23.6378,-7.3023,34.9772,64.866588,0.4853,1.55,2.99,12,False,rain,night,above
d4258ffc-cadf-4053-8d76-31c35e2bb9bd,60.0,1006.498,2.6246,0.664327,-21.784,1003.874,29.3101,-7.3345,19.9698,8.683286,0.7788,6.18,1.63,11,False,clear,evening,street_level
74f12fec-fb6a-4b40-b341-283081388284,60.0,1015.672,1.2293,0.609517,-10.203,1014.442,16.8009,6.936,38.7938,68.245857,0.3678,26.18,4.27,9,False,clear,morning,underground
a7172b95-7112-4f1d-aef7-f4f677da294b,60.0,1013.014,-0.6333,0.497202,5.257,1013.647,22.9483,5.4777,17.7166,18.725454,0.8834,10.51,1.34,19,False,overcast,morning,street_level
fbc16799-8073-4bb7-8f8d-8f68fa13f5a6,60.0,1015.483,0.6758,0.702574,-5.609,1014.807,-17.2692,3.7974,44.7079,52.46852,0.8196,21.79,0.97,9,False,overcast,night,street_level
88ddc4f3-1f16-4213-9d22-8f57e46e86cd,60.0,1017.778,0.2239,0.113262,-1.858,1017.554,23.5132,13.2575,25.0247,40.989185,0.2586,24.92,4.93,2,True,overcast,afternoon,street_level
96799af7-09bd-437e-b52e-71965d6be332,60.0,995.921,-0.19,0.142262,1.577,996.111,21.1094,-17.763,31.0161,8.15917,0.6147,21.34,4.43,4,False,overcast,night,street_level
bd5e763c-f1fe-47bf-b9ef-65e11d893203,60.0,993.961,-1.2589,0.541893,10.449,995.22,14.3517,-20.5782,29.4457,55.665018,0.3566,13.98,3.05,15,False,clear,evening,above
e2f0fbd1-1fc7-4513-b975-baabe83ca35e,60.0,1004.341,-0.6943,0.2328,5.763,1005.035,1.1399,3.2615,25.7397,78.587478,0.9209,5.75,2.1,7,False,overcast,night,above
915b6f27-abaa-427d-b801-54c511f8b301,60.0,1003.852,-0.0329,0.079321,0.273,1003.885,14.6106,-1.1402,56.6306,43.084421,0.6029,58.64,15.39,4,True,overcast,afternoon,street_level
c4040809-2178-4e3c-8674-0af801bf3ad6,60.0,1012.961,-0.855,0.44007,7.096,1013.816,7.746,-4.4699,34.0999,99.553975,0.8122,42.49,9.37,4,True,rain,night,above
774db4e8-9a55-4e3b-b5e8-9355ba3a54f5,60.0,1012.309,-0.9905,0.590593,8.221,1013.3,23.2873,-6.2592,63.6618,31.003596,0.8366,13.23,4.16,12,False,overcast,evening,above
0ea43433-eb5a-4e16-a450-e8f2953bbaae,60.0,1017.309,0.3453,0.662337,-2.866,1016.964,34.4752,-17.202,41.917,58.83916,0.7388,14.37,4.35,0,False,overcast,night,underground
edf778ab-2f7f-410a-be65-6f9e5f93fa06,60.0,1014.395,-0.0084,0.013442,0.07,1014.403,-12.9821,-3.3998,32.4692,46.068848,0.0,7.56,4.82,4,False,clear,afternoon,street_level
95122d98-76c1-462f-8ae2-c0459532d974,60.0,1011.557,2.1341,0.763148,-17.713,1009.423,16.9015,-20.6631,29.9632,69.506035,0.4702,2.18,4.49,16,False,rain,morning,street_level
e580564b-a8a8-4bb7-8f4b-d83e005fcf7a,60.0,990.197,-0.6752,0.584097,5.604,990.872,29.1127,-24.1655,44.8487,71.741734,0.5925,55.62,10.81,2,True,overcast,afternoon,above
4c6967ef-0f38-4059-ac7b-004433443adf,60.0,990.295,-0.6154,0.158654,5.108,990.911,19.7857,-33.8711,48.4705,74.374448,0.4607,24.63,8.21,0,True,clear,morning,above
cdfd7669-361a-4e64-a697-c4432351409f,60.0,1009.43,-2.9012,0.104335,24.08,1012.332,19.2843,-10.054,22.6245,124.168384,0.3512,60.72,9.7,1,True,overcast,morning,street_level
a8771ed2-83d0-453e-a098-4c69fe163398,60.0,1010.06,2.7512,0.294846,-22.835,1007.308,4.0605,4.8332,49.3496,21.292339,0.2954,41.42,5.07,3,True,clear,morning,street_level
cc6080ec-03c1-4ea3-8afa-80ff06b96d1d,60.0,996.169,0.5645,0.131183,-4.685,995.604,11.9715,9.7609,42.964,115.299503,0.7716,77.9,13.91,1,True,clear,afternoon,underground
c5676a1f-8e07-454c-b834-3c83567bef05,60.0,1003.595,0.9302,0.136211,-7.72,1002.665,36.9399,34.4752,38.5506,53.71455,0.6032,39.37,10.41,0,True,overcast,night,underground
7b22f8cf-ab73-4707-b5a9-99c7660ee6b1,60.0,1010.323,0.1857,0.560171,-1.542,1010.138,-1.9656,-6.6332,55.7065,82.731383,0.4668,8.13,4.36,5,False,overcast,afternoon,street_level
90a5ea1b-7fc3-4dce-bad1-f5bd1ea354d9,60.0,1001.307,-0.9745,0.31086,8.089,1002.281,25.9371,-2.5895,43.9101,81.308072,0.2559,67.15,12.45,0,True,overcast,night,above
1717679b-ab0e-4619-8dcb-f93f3d8ff6bd,60.0,995.021,-0.0097,0.044612,0.081,995.031,18.6973,2.1094,21.3135,36.575481,0.0,2.76,2.48,13,False,rain,night,street_level
e048d616-ff91-477c-bf3e-0f5d3199f7e9,60.0,999.104,-0.0009,0.073531,0.007,999.105,32.7533,-15.2298,34.7611,-12.854726,0.5763,1.0,1.36,19,False,clear,morning,street_level
6630c386-9375-45b3-98fc-9f53ddfeafe0,60.0,990.155,-0.8721,0.502835,7.238,991.027,19.4417,0.9144,40.7792,90.757086,0.7097,8.7,1.8,13,False,rain,evening,above
256f6c35-30f7-4f1c-9e53-3aab8515d71e,60.0,991.52,0.4179,0.404341,-3.469,991.102,26.0509,-24.077,49.664,92.908192,0.7693,17.98,20.81,0,True,rain,night,underground
539070a6-17b6-447e-8b7f-e4e7102b9daa,60.0,1008.742,-0.114,0.446313,0.946,1008.856,21.0125,-7.0365,46.7384,64.227809,1.0,59.44,9.77,1,True,clear,morning,above
20e7c01e-288c-4ae5-92f9-7b4251484c0c,60.0,1007.324,-1.6187,0.538425,13.435,1008.942,34.4613,7.8421,21.5859,80.154277,0.4243,24.91,2.68,10,False,rain,evening,street_level
a365a69f-8905-48c2-b5f8-a27d9691bf32,60.0,1012.855,0.2353,0.124497,-1.953,1012.62,43.2884,-33.2909,35.447,44.807845,0.5047,19.44,1.43,1,True,clear,afternoon,street_level
dd024afa-b6cc-45ff-8ecd-5eb6dcaec21b,60.0,1000.899,0.4483,0.074889,-3.721,1000.451,56.5963,10.7641,48.4586,51.774264,0.8378,1.0,-0.47,17,False,overcast,night,street_level
e9cb6f34-b216-4d98-83ad-a9eabc10ff91,60.0,1012.804,0.0405,0.018437,-0.336,1012.764,10.7383,-38.6815,45.9526,13.690531,0.4158,5.04,0.52,16,False,rain,afternoon,street_level
15bef832-715f-4cca-953a-30eda04a53ba,60.0,1007.599,0.5094,0.20869,-4.228,1007.089,26.6071,-10.2946,48.2873,45.77001,0.8102,47.97,12.96,0,True,rain,afternoon,underground
1402769b-4233-43ee-911d-d2842f2e400b,60.0,1012.494,-0.0741,0.143196,0.615,1012.568,15.4864,-14.1298,51.2706,25.732901,0.5122,54.99,2.81,5,True,rain,morning,street_level
57946d2e-8603-4548-847e-742a02981517,60.0,996.704,0.0712,0.069323,-0.591,996.632,26.207,-12.7793,38.0527,28.592162,0.2654,2.5,2.46,15,False,overcast,morning,street_level
88aeea6c-4e08-4f8f-9d63-0f47f54ff3b1,60.0,991.17,0.5084,0.042473,-4.219,990.662,-8.6966,4.6458,56.5607,47.351539,1.0,15.32,0.84,4,False,clear,afternoon,street_level
c0b83423-b36b-4cf4-92ea-a1b54176510c,60.0,1018.197,0.4419,0.151395,-3.668,1017.755,-3.3384,-5.0368,52.5029,42.480518,0.5577,18.34,2.46,8,False,rain,night,underground
7f571936-ff31-45b0-84e8-ffb4d173146e,60.0,1004.5,-0.4226,0.14918,3.507,1004.923,29.4412,-23.7244,41.2192,50.088586,0.6257,12.77,0.98,7,False,rain,morning,street_level
28897cda-527c-4426-a100-4e80e7feec0f,60.0,1002.747,0.1369,0.121363,-1.136,1002.61,25.8998,-7.1193,35.3633,16.991363,0.0779,69.26,8.57,7,True,rain,morning,street_level
0785fe4d-8d4f-4546-9af3-a950ec89175c,60.0,994.161,0.5846,0.281877,-4.852,993.576,-4.0153,22.3361,23.0282,50.350263,0.4338,18.87,5.42,4,False,rain,night,underground
0041b2de-9e71-46e8-867c-485f96d6b6c0,60.0,1005.732,1.2931,0.225106,-10.732,1004.439,34.8806,-12.6244,28.6638,59.03532,0.9333,65.35,12.97,0,True,rain,night,underground
48418260-7eac-4bba-83e2-59a7ccd29ce6,60.0,994.966,0.1071,0.099736,-0.889,994.859,20.9594,-15.5757,25.1153,24.624596,0.7453,6.8,2.79,0,False,clear,evening,street_level
c51a6730-148c-40fb-8ca6-455ee3ac071f,60.0,992.023,0.1144,0.07055,-0.95,991.909,38.2814,-13.2016,62.3609,-36.648136,0.588,20.81,10.4,6,True,clear,morning,street_level
86e368d0-89aa-44f4-9990-c2ea00357de9,60.0,990.9,-0.7289,0.150523,6.05,991.629,37.8597,4.2433,17.7265,55.29558,0.6926,10.8,2.0,15,False,rain,morning,above
13fe544d-ad0e-41c5-a509-11b833b2bc5a,60.0,1004.559,-0.1984,0.07297,1.647,1004.757,17.3853,-15.8735,39.7721,14.896609,0.0,19.03,3.14,11,False,overcast,night,street_level
ebc97bcd-8411-4ad2-a400-9a00588e0f86,60.0,996.82,-0.4547,0.10606,3.774,997.275,19.3987,7.5233,27.0564,40.147344,0.6423,15.6,14.15,0,True,overcast,afternoon,above
22cd1f61-29a9-422e-8e46-00edaa36e936,60.0,1002.8,-0.5285,0.119902,4.387,1003.329,10.9143,1.1314,44.4894,42.134897,0.1638,17.42,1.27,22,False,overcast,morning,street_level
10e06621-2c11-49a3-9176-d85ca70690b7,60.0,1007.764,-0.0624,0.031024,0.518,1007.827,39.4822,-24.7138,20.0812,55.200809,0.541,49.74,6.18,1,True,clear,morning,street_level
b6ce7e4c-b54c-4820-876d-bab0b6c97e7c,60.0,1011.337,-0.3537,0.430151,2.936,1011.69,12.4631,-5.7823,26.1157,45.457187,0.8699,13.04,3.31,8,False,clear,night,above
2871a95a-3c1a-4663-8468-a7846fa72223,60.0,1015.006,3.3159,0.776367,-27.522,1011.69,7.4119,-25.6721,10.5047,46.83428,1.0,16.31,3.61,10,False,overcast,afternoon,street_level
920bd7dd-8646-4e51-aae8-a27cb56dcd8c,60.0,1002.087,-0.2166,0.198735,1.798,1002.303,24.2387,-13.7304,64.1102,72.685167,0.8539,14.3,1.42,13,False,overcast,morning,above
3e3fb6cb-60cb-44fd-b3ca-8cfa0ab8eee4,60.0,1013.453,-0.1234,0.372513,1.024,1013.576,20.3191,-5.3675,65.5332,74.992199,0.4872,37.07,10.47,4,True,clear,night,above
6d921033-f9de-4065-aff5-9eab4c610bcb,60.0,1005.213,-1.3172,0.536661,10.933,1006.53,7.2422,-18.7079,48.8287,97.243819,0.8183,42.92,5.94,1,True,overcast,evening,above
f054966e-ca47-45f4-bf15-c18b7e17fee2,60.0,1006.015,0.4728,0.570275,-3.925,1005.542,7.6948,-22.2578,8.5882,66.649571,0.7029,31.0,8.68,0,True,clear,evening,underground
c03cb61f-1648-4b43-93e8-c49df5995d24,60.0,1011.651,1.4326,0.359466,-11.89,1010.218,22.7683,13.1316,70.0914,42.498229,0.3281,33.96,18.23,1,True,rain,night,street_level
62544496-083f-4503-b103-d30d279c2bb4,60.0,1006.134,0.4359,0.047775,-3.618,1005.698,30.2305,-51.6034,52.014,12.727017,0.499,67.32,5.4,4,True,overcast,evening,street_level
8d0daf7f-e511-4295-899b-d12ef85fce42,60.0,993.702,-0.4271,0.458935,3.545,994.129,5.6084,-15.5831,56.3312,74.746196,0.8154,84.42,13.75,0,True,rain,morning,underground
a90bca49-a1cc-4b20-93da-2c8e522ee12f,60.0,1006.347,0.335,0.300883,-2.78,1006.012,26.0266,-12.8817,60.8575,54.226587,0.0,65.66,7.22,2,True,rain,morning,street_level
dae31b2f-f89f-4284-9ac6-210aa1b9a4eb,60.0,1003.873,0.3503,0.112131,-2.908,1003.523,16.9449,-23.1697,27.5968,30.321677,0.1706,60.32,12.91,2,True,overcast,afternoon,street_level
559f20cd-bec3-4011-8674-ec910b0069c3,60.0,1014.318,-1.0573,0.488355,8.775,1015.375,15.7801,-8.9951,47.7391,64.465818,0.4632,8.64,11.21,3,True,rain,afternoon,above
5fd2d8b2-eb28-4211-861a-39e6b81655e7,60.0,1016.23,-0.0008,0.688778,0.007,1016.231,25.2186,-22.1263,35.271,89.856617,0.4491,4.67,8.83,8,False,clear,afternoon,underground
3daea4d3-6e68-4a42-b537-19a043a62d78,60.0,994.828,0.5929,0.414035,-4.921,994.235,-23.8203,-3.4516,53.559,62.611469,0.7305,43.45,12.26,0,True,rain,afternoon,underground
9fc359e0-c7f7-4efd-8165-35c006352b46,60.0,1003.419,0.4747,0.407502,-3.94,1002.944,12.3435,7.429,28.4745,65.427589,0.975,11.72,5.2,5,False,overcast,evening,underground
fcf43105-e5bd-4d6b-951a-515e418368b3,60.0,1003.264,-1.2789,0.219398,10.615,1004.543,33.2193,-24.6017,39.919,72.936798,0.642,44.08,7.16,2,True,overcast,morning,above
0d404f30-2eb1-464c-a37d-6069b654440e,60.0,1007.16,-1.2295,0.201883,10.205,1008.39,28.0512,1.4809,37.1227,19.230789,0.7002,50.44,12.42,4,True,overcast,evening,above
75e7ea8b-be11-48b7-a647-810bc6027aa3,60.0,1004.249,-0.6757,0.52859,5.608,1004.925,31.4136,-12.9929,22.5522,58.361329,0.7709,36.8,7.71,2,True,clear,afternoon,above
596a780a-4b22-43bc-b165-9f084c138793,60.0,1008.25,1.0221,0.690466,-8.483,1007.228,58.8435,-1.3055,44.8869,98.718337,0.9865,16.13,5.97,12,False,clear,morning,underground
3260ec89-2368-4e07-8e52-19facf1f367f,60.0,991.01,-1.2135,0.370397,10.072,992.223,10.8827,9.4549,39.657,39.836436,0.935,64.76,8.7,0,True,overcast,afternoon,above
8f3b5c19-2013-4ac6-beff-60bda02be3dc,60.0,999.75,0.3645,0.243924,-3.025,999.386,38.6578,-11.5453,58.377,60.206046,0.5155,75.27,15.77,0,True,rain,afternoon,underground
4d96e9b0-574b-4551-a60c-891519832462,60.0,1016.755,-0.6603,0.443164,5.481,1017.415,35.1882,-39.0417,41.8877,54.948331,0.7811,37.36,10.94,4,True,rain,afternoon,above
1b7d2cc9-f8e8-40b4-a03a-d16fe9eb9991,60.0,994.922,-1.0322,0.494224,8.568,995.954,22.252,-35.5732,5.8451,34.697753,0.8586,49.09,10.63,0,True,overcast,evening,above
fe1d617e-e4cd-414e-b17a-e8dc62af180e,60.0,1013.732,-0.4759,0.311274,3.95,1014.208,24.7547,3.3299,32.0987,59.453477,0.7554,38.47,10.88,2,True,rain,evening,above
69e113c6-eb36-4822-b4cf-c85404683bd8,60.0,1000.695,2.8124,0.23142,-23.343,997.883,45.6592,-11.5667,37.4677,-6.556002,0.4111,3.57,0.4,16,False,clear,night,street_level
605fa5d1-9079-4a4e-a88b-b05b9d00c136,60.0,1013.297,1.0492,0.412867,-8.708,1012.248,60.313,-37.1505,29.681,46.816172,0.7477,20.65,5.28,10,False,clear,morning,underground
78316e00-6cc7-46ff-989e-9df5646c2873,60.0,1003.279,1.1105,0.464254,-9.217,1002.169,7.3513,22.5641,37.3617,100.545014,1.0,61.51,7.19,0,True,clear,evening,underground
03b3e653-9726-465e-a7c1-48488884961f,60.0,1016.959,0.3441,0.098775,-2.856,1016.615,1.3991,-23.415,29.9588,27.725882,0.104,10.24,-1.1,14,False,overcast,night,street_level
5a5b77fc-4058-4a72-a3fc-87d0440d2e6b,60.0,1003.366,-1.0976,0.356334,9.11,1004.464,24.0299,-8.4468,7.5667,74.433768,0.6049,33.31,8.51,0,True,overcast,night,above
c2108296-eb25-43ce-814a-9a5df5cc6cd7,60.0,1014.406,-0.0726,0.237366,0.603,1014.478,42.9699,3.8187,31.8644,30.557481,0.1855,57.47,8.55,3,True,clear,morning,above
7d64369a-0a4e-44ea-93f5-db3f327dcbef,60.0,1016.889,0.1477,0.094644,-1.226,1016.742,5.1923,-11.9689,41.1528,14.375673,0.6028,1.0,0.92,10,False,overcast,afternoon,street_level
