label,city,latitude,longitude,gnss_accuracy_mean,gnss_accuracy_delta,gnss_lost_ratio,pressure_hpa,pressure_delta,pressure_variance,altitude_delta,magnetic_field_mean,magnetic_field_delta,magnetic_variance,window_duration_s
street_level,Matosinhos,41.17251,-8.68021,5.27175,11.72408,0.0,1006.36735,0.35182,0.0,-1.55996,48.08141,-0.34407,0.0,73.31425
underground,Arouca,40.93126,-8.24537,36.16927,47.73614,0.0,1009.16013,-0.39366,0.04263,-3.63551,53.6314,-20.86905,311.95608,58.78715
above,Vila nova de Gaia,41.12798,-8.61211,47.62955,69.24154,0.0,1003.39696,1.73604,0.2282,15.37239,44.94038,-2.50903,124.60192,3.0
street_level,Matosinhos,41.17289,-8.68016,19.18172,1.41535,0.02771,1011.06694,0.01739,0.0046,-4.19041,40.22475,-7.36891,0.0,9.39763
underground,Arouca,40.92919,-8.24642,43.97758,40.56767,0.2427,1006.80237,-0.55733,0.18249,-4.61716,31.49472,-30.91088,230.56725,179.76089
street_level,Vila nova de Gaia,41.11696,-8.60636,13.8871,0.15668,0.0,1014.04688,-0.0528,0.0,1.6296,35.58726,-1.00136,0.0,3.0
street_level,Espinho,41.01177,-8.63913,5.03997,12.77628,0.01034,1003.98421,0.63528,0.01188,3.61574,47.03207,2.52737,0.83789,96.91219
street_level,Espinho,41.00647,-8.64065,4.24295,0.0,0.00295,996.45011,0.53685,0.01062,3.67612,25.27851,0.59261,0.0,66.233
underground,Espinho,41.01096,-8.64307,50.25424,48.63896,0.43664,1001.2136,-0.65573,0.11778,-4.57459,33.2614,20.07252,0.0,187.88244
street_level,Espinho,41.00725,-8.6431,11.10521,0.37958,0.01299,994.40006,-0.25316,0.0,3.06025,32.10721,-2.63316,0.0,3.0
street_level,Matosinhos,41.17661,-8.6887,4.26227,5.37253,0.03413,999.49664,0.32197,0.01381,4.3183,24.30807,5.47068,8.53661,53.29493
street_level,Oeiras,38.714,-9.2367,9.10182,0.0,0.0203,996.80775,0.01922,0.0,-1.20529,27.8127,-3.25013,0.0,14.78877
street_level,Maia,41.20312,-8.55924,6.86947,1.70561,0.0129,995.79708,0.07989,0.0,-4.34921,60.43214,-1.37721,0.0,3.79102
street_level,Espinho,41.00364,-8.64243,11.75198,3.19785,0.01712,1004.44529,-0.28748,0.0,2.49776,24.24872,-3.67166,4.9288,13.59862
street_level,Oeiras,38.71228,-9.30077,13.31621,0.0,0.00793,1006.76009,-0.11881,0.0,-1.27024,42.10206,-4.69699,0.0,4.7824
above,Maia,41.20334,-8.5592,28.20816,86.07954,0.00649,1003.60287,1.01247,0.35936,13.57316,23.20314,5.57508,198.50365,27.41099
street_level,Vila nova de Gaia,41.13332,-8.6124,8.03223,24.09314,0.01608,1000.65375,0.71613,0.0,6.25501,22.37139,-2.58625,6.57084,84.74686
underground,Vila nova de Gaia,41.12681,-8.61315,49.10471,19.5789,0.16747,1003.60129,-0.68227,0.09977,-4.58187,38.37969,16.0626,305.63761,140.78106
street_level,Vila nova de Gaia,41.12679,-8.61735,8.23054,0.2234,0.0,998.95351,-0.06566,0.0,-1.23009,63.93737,-4.28271,0.0,3.0
street_level,Porto,41.14437,-8.61122,5.61849,0.0,0.0,997.79096,0.07778,0.02717,0.39071,54.24257,2.53781,11.69264,3.0
street_level,Espinho,41.0066,-8.64423,7.04349,0.20289,0.00181,996.10894,-0.04239,0.00512,-1.91036,43.69938,5.41369,21.75627,3.0
street_level,Vila nova de Gaia,41.13585,-8.61168,11.75115,0.0,0.0,1003.63157,-0.1388,0.01677,-1.0903,27.53637,-8.49449,0.0,28.4259
underground,Espinho,41.00848,-8.63657,41.12818,0.0,0.131,1003.3184,-0.62924,0.19415,-5.38227,26.30045,47.08978,149.2754,127.01289
underground,Vila nova de Gaia,41.13417,-8.61612,22.2592,120.41487,0.36727,1004.89651,-0.7669,0.27897,-4.77261,39.13841,32.34364,0.0,168.09268
street_level,Vila nova de Gaia,41.12407,-8.61011,17.07883,2.92282,0.00795,1006.52582,-0.204,0.0,-6.1968,36.47862,-1.91683,0.0,3.0
underground,Oeiras,38.69111,-9.31814,40.00627,11.78113,0.0,1003.91827,-0.69993,0.2447,-4.68924,37.93836,-14.50961,361.99703,221.33424
underground,Oeiras,38.72865,-9.23647,27.80071,59.21675,0.54748,1006.41784,-0.49469,0.19464,-4.88728,25.80641,9.87253,133.5778,131.65831
street_level,Maia,41.20195,-8.55753,12.00483,4.97161,0.01329,1000.33203,-0.15722,0.02136,-1.90487,27.2579,5.36523,0.0,3.0
underground,Arouca,40.93081,-8.24801,22.08952,70.54788,0.5047,1002.74718,-0.42404,0.23151,-4.84755,45.14522,36.22733,14.79932,54.19056
street_level,Porto,41.15405,-8.67923,14.94239,0.0,0.0,1009.34715,-0.05047,0.0,0.40948,42.50021,-1.82548,0.0,3.0
underground,Porto,41.164,-8.6492,29.46515,69.42725,0.17073,1008.16438,-0.40312,0.02644,-4.3254,41.61133,9.66324,225.32883,3.0
underground,Matosinhos,41.17156,-8.67897,28.14178,104.66431,0.42338,1003.7837,-0.60711,0.21838,-3.67622,32.95558,34.50091,291.7484,68.76028
street_level,Arouca,40.92918,-8.24821,9.34641,0.0,0.01497,1013.6695,0.04233,0.0,1.50119,45.9976,-3.74941,7.33262,31.91602
underground,Espinho,41.00934,-8.63993,27.64132,86.62147,0.0,1006.55824,-0.27403,0.00873,-2.85476,37.88626,-44.42727,236.57704,20.97466
above,Arouca,40.93179,-8.24299,64.22683,86.02764,0.0,1005.1889,0.70328,0.00134,5.52954,56.08434,5.61916,169.86137,96.37118
street_level,Vila nova de Gaia,41.12539,-8.60805,6.66929,4.21632,0.00451,997.3485,-0.1716,0.0,-0.63618,60.62761,-3.28688,24.48291,18.3328
underground,Arouca,40.92987,-8.24633,43.52912,49.72169,0.0,1005.5899,-0.50164,0.16218,-4.28268,36.04908,-17.29622,173.04547,138.78273
underground,Matosinhos,41.17712,-8.68307,32.72594,67.19366,0.29143,1002.55672,-0.60748,0.15169,-5.49321,30.44447,-19.23836,0.0,74.42148
underground,Espinho,41.01107,-8.63612,43.18667,44.97933,0.27169,1004.54243,-0.53458,0.04212,-5.39567,32.26722,17.67028,245.48522,146.55439
street_level,Vila nova de Gaia,41.12423,-8.60741,11.7869,0.0,0.00472,1000.67305,-0.14316,0.0328,-1.16057,20.54426,2.80883,0.0,20.63846
street_level,Arouca,40.92898,-8.24795,10.86364,0.0,0.0,992.36265,-0.12076,0.0,2.73811,58.88211,3.00212,0.0,3.0
underground,Porto,41.14634,-8.602,32.51159,91.49406,0.44992,1005.00301,-0.63498,0.15141,-2.83503,23.15297,26.18564,5.38256,94.4351
underground,Vila nova de Gaia,41.12149,-8.61463,35.52319,59.63049,0.0,1006.37764,-0.48524,0.0,-2.71325,41.91561,-13.53977,170.34472,40.56692
street_level,Matosinhos,41.17543,-8.69046,12.33885,2.6227,0.01467,1010.75448,-0.19532,0.0,-2.76199,23.36878,-2.40094,24.58014,7.27553
street_level,Maia,41.20209,-8.55753,9.41684,0.0,0.00366,1003.63599,0.30119,0.00683,-2.16668,22.46033,-4.84874,0.0,3.0
underground,Maia,41.20287,-8.55788,28.69381,73.19616,0.39293,1006.28292,-0.47705,0.12453,-5.37838,35.62094,20.09796,127.53842,19.07889
underground,Matosinhos,41.17287,-8.68841,53.86988,55.31248,0.64052,1003.88638,-0.43179,0.18749,-5.13694,32.52105,10.56214,139.11708,73.55616
street_level,Espinho,41.00387,-8.64405,5.93906,8.42288,0.00725,995.61376,-0.30454,0.00467,0.65049,18.45443,6.62345,0.0,3.0
underground,Oeiras,38.68584,-9.32154,32.15459,108.36216,0.76479,1004.12368,-0.65631,0.0312,-6.14646,20.63284,22.3357,18.78631,118.20155
street_level,Oeiras,38.68586,-9.31933,20.24784,0.0,0.00425,1002.91565,-0.26427,0.01592,-0.07368,43.82667,-5.62236,23.92882,3.0
street_level,Porto,41.1666,-8.62662,12.23433,1.20189,0.0,1001.00653,-0.06202,0.00077,-1.00137,22.4388,2.97602,5.16644,3.0
street_level,Matosinhos,41.17237,-8.68017,15.29182,0.0,0.0,1006.68203,0.17758,0.0,1.59844,38.78909,1.28734,0.0,15.66162
underground,Oeiras,38.69535,-9.29227,23.55806,72.69114,0.37442,1003.59801,-0.50334,0.22447,-6.24853,15.9619,20.55478,5.26604,92.17411
street_level,Maia,41.20214,-8.55753,12.9329,3.60838,0.0,1000.63094,-0.16104,0.01154,0.811,37.35339,0.72176,3.54438,13.28694
underground,Arouca,40.93158,-8.24461,27.0943,34.00306,0.0,1005.86756,-0.46337,0.0,-4.19204,49.40785,-33.58646,288.02245,3.0
street_level,Vila nova de Gaia,41.12415,-8.60973,14.3723,0.58511,0.0,1003.44629,0.12418,0.0,0.2788,28.95523,-4.53983,12.81291,3.0
street_level,Matosinhos,41.17245,-8.67981,14.89475,1.62028,0.01946,1004.25763,-0.55618,0.0,1.71509,35.3787,4.88435,9.40146,25.36149
above,Arouca,40.92972,-8.24742,60.42524,100.49367,0.0,1005.55497,0.33204,0.0,6.87936,32.22181,-1.39568,241.17216,118.09898
street_level,Oeiras,38.71287,-9.29745,6.97219,0.0,0.01326,999.61237,0.11665,0.00039,-2.13162,21.07883,-3.18154,0.0,26.62077
street_level,Porto,41.14749,-8.63376,4.47335,1.31094,0.0,1000.59232,0.38136,0.0,9.00676,33.46832,0.28776,9.34541,56.58915
street_level,Vila nova de Gaia,41.12463,-8.62136,9.79805,12.18034,0.00386,999.14292,0.04143,0.0,0.45393,52.94779,3.39691,17.52954,54.38332
street_level,Matosinhos,41.1759,-8.68896,13.56246,0.0,0.0,1006.04475,-0.15444,0.00403,4.41676,38.57808,-9.31308,0.0,3.0
street_level,Arouca,40.93089,-8.24719,14.05125,0.0,0.0,1007.49613,0.20107,0.0,-5.16415,30.11331,-6.34549,0.0,3.0
underground,Oeiras,38.70433,-9.22864,40.75702,55.8658,0.34154,1002.05986,-0.66304,0.1638,-4.8496,29.06955,20.00831,66.20318,81.20381
street_level,Maia,41.20192,-8.55761,12.22569,0.0,0.0398,1004.714,0.34903,0.00455,-2.04702,18.24935,-6.74409,41.8876,10.87358
street_level,Maia,41.20182,-8.55783,8.63341,18.10582,0.00164,1008.11146,0.73132,0.0,5.67004,41.17784,0.70158,7.72782,81.73028
street_level,Espinho,41.01164,-8.63981,11.52925,11.02186,0.00091,1002.32784,0.0651,0.0156,0.1753,28.27309,-5.6795,0.0,39.6938
street_level,Matosinhos,41.17744,-8.68098,10.81678,0.0,0.0,1005.64348,-0.40732,0.0,3.99678,54.49374,4.01679,10.95866,4.8358
underground,Vila nova de Gaia,41.12241,-8.61466,28.82085,90.64677,0.34287,1002.52713,-0.47438,0.30744,-4.17948,13.52431,-9.67674,142.46925,66.43172
underground,Matosinhos,41.17202,-8.68011,27.88712,79.00218,0.0,1005.23737,-0.34194,0.03198,-3.81016,36.32212,-43.31983,273.28233,3.0
street_level,Vila nova de Gaia,41.13471,-8.61479,12.45421,0.4377,0.01073,1015.10482,-0.05278,0.0,3.20155,31.80166,-6.69826,5.98923,29.53679
street_level,Porto,41.1633,-8.66624,9.65318,0.0,0.03242,994.94326,0.38688,0.01312,1.18435,46.21975,0.36338,0.0,5.6621
street_level,Arouca,40.92922,-8.24652,11.25308,7.89294,0.00456,1000.16019,-0.15475,0.0,2.73992,60.84481,1.99949,0.0,42.02541
underground,Maia,41.20208,-8.5594,25.78098,8.00612,0.23991,1003.8267,-0.58922,0.18303,-3.9485,31.77897,14.90984,332.02211,40.94062
above,Vila nova de Gaia,41.12536,-8.61524,53.33976,82.60722,0.0,1001.65523,1.50497,0.35305,12.27912,32.32973,-5.64562,170.45429,73.86173
street_level,Vila nova de Gaia,41.12881,-8.61443,9.27341,0.19466,0.0,1008.08646,0.89465,0.03281,1.99006,41.00391,-2.3296,0.0,50.54879
above,Vila nova de Gaia,41.12555,-8.60709,54.90207,89.02126,0.0,1005.35427,1.06622,0.20724,3.39437,43.3416,8.95249,258.05421,110.18231
street_level,Oeiras,38.70778,-9.24201,11.18164,3.85224,0.00989,998.17053,0.13887,0.0,-0.66305,64.48985,2.57248,0.0,3.0
street_level,Maia,41.20226,-8.5577,13.47257,0.0,0.0082,1000.58208,-0.05302,0.00111,0.88626,21.34865,-0.34823,12.36719,3.0
street_level,Arouca,40.93116,-8.24751,15.36359,0.0,0.0146,1004.20453,-0.05422,0.0145,-0.27787,20.99391,1.14547,0.0,6.79514
underground,Matosinhos,41.17351,-8.68075,23.70225,133.70925,0.55716,1005.27972,-0.53867,0.21491,-5.27761,32.10327,27.47192,157.77383,73.2106
underground,Matosinhos,41.17418,-8.68653,46.5138,33.02362,0.22959,1001.76226,-0.61327,0.16398,-4.85702,41.41344,28.63503,87.07944,120.94948
underground,Vila nova de Gaia,41.1327,-8.61359,51.37462,28.33241,0.17732,999.29587,-0.61537,0.137,-4.5432,33.44323,11.30607,259.80102,17.39715
underground,Espinho,41.00819,-8.64014,22.27086,78.85933,0.0,1007.11175,-0.55005,0.0,-3.1863,39.76145,-69.51325,255.71509,3.0
street_level,Maia,41.20265,-8.55793,6.72543,15.70483,0.0,1000.18817,0.77353,0.0,6.34163,46.05062,2.21081,0.0,91.25089
street_level,Vila nova de Gaia,41.12927,-8.61537,9.30815,6.70876,0.0,1000.25852,-0.4599,0.0,-2.78206,25.59874,4.38489,10.58336,3.0
above,Maia,41.20409,-8.5586,69.70969,83.44213,0.02317,1005.1726,0.51818,0.0,3.18977,56.96643,14.4985,234.98688,165.63621
street_level,Porto,41.17208,-8.59972,5.7042,2.2487,0.01191,1007.62442,0.7774,0.0,0.98902,50.97493,-5.17632,10.63423,110.1134
street_level,Arouca,40.93206,-8.24401,6.82448,1.9304,0.00038,1001.73232,0.16217,0.00215,-3.10785,72.70902,-0.53373,0.0,3.0
above,Arouca,40.92912,-8.24805,39.1868,83.7369,0.0,1003.3058,1.30652,0.13109,6.59741,25.2915,2.02611,148.91791,14.51773
street_level,Maia,41.20402,-8.55877,10.06043,0.0,0.0047,1012.70255,0.12395,0.0,1.24555,31.71169,-1.26503,1.55281,3.0
above,Maia,41.20382,-8.55896,33.46017,86.87379,0.0,1002.55635,1.83942,0.22536,11.97829,30.06714,-23.28297,93.77719,59.14302
street_level,Matosinhos,41.1719,-8.6783,13.41255,0.0,0.0,998.68261,-0.09471,0.0,2.65468,44.66462,-3.82156,23.58641,3.0
underground,Matosinhos,41.17181,-8.6803,32.06439,107.80489,0.02389,1006.53738,-0.33075,0.0065,-3.26449,46.42278,-55.12112,260.73737,16.58739
underground,Espinho,41.00904,-8.63933,31.80598,60.93788,0.07573,1006.62483,-0.45045,0.18955,-3.84562,50.11803,-74.88792,346.6447,3.0
underground,Vila nova de Gaia,41.12517,-8.61522,40.06767,38.7961,0.02919,1005.66301,-0.60298,0.0,-3.83537,46.9842,-31.36864,183.58304,32.02057
underground,Arouca,40.92983,-8.24657,40.10924,12.31905,0.17095,1002.56072,-0.57504,0.22999,-3.98195,37.26132,-15.7183,140.75177,126.68415
above,Matosinhos,41.173,-8.68902,58.2811,89.73278,0.00043,1002.04296,1.43786,0.19243,8.55949,34.47222,-20.60998,118.92889,48.51263
underground,Oeiras,38.68538,-9.32379,12.50074,76.6476,0.20905,1006.17471,-0.53376,0.08891,-5.73215,17.18305,16.72086,98.8339,86.6812
street_level,Maia,41.20216,-8.55938,5.19363,10.18868,0.00363,1009.62882,0.54468,0.0,8.4477,46.00846,1.24292,0.0,43.48971
underground,Porto,41.15032,-8.58354,46.74829,37.71949,0.20412,1002.23328,-0.52129,0.26744,-5.26315,27.24272,17.65953,21.70318,64.87227
underground,Matosinhos,41.17683,-8.68382,33.18743,59.68297,0.0,1007.7687,-0.50276,0.02318,-2.60808,34.36026,-48.66306,463.81857,3.0
underground,Vila nova de Gaia,41.11576,-8.61101,27.29607,118.99199,0.52065,1003.90443,-0.6742,0.18286,-5.59507,35.55492,41.54175,135.94727,44.91168
underground,Oeiras,38.71578,-9.23443,28.78418,110.08227,0.39409,1002.44251,-0.76163,0.12023,-4.88577,22.91812,-19.92986,0.0,180.15794
street_level,Vila nova de Gaia,41.12808,-8.60682,10.52261,0.0,0.0,999.21649,-0.03999,0.0179,1.461,54.07491,1.75265,0.0,3.0
street_level,Porto,41.1621,-8.59112,7.4315,18.02316,0.0,1001.91647,0.49844,0.0,6.64381,39.02833,2.66458,0.0,60.67594
above,Espinho,41.00591,-8.63631,43.67017,82.86517,0.02608,1007.23126,0.92486,0.00923,4.66062,42.95833,4.62134,204.04326,95.72046
street_level,Oeiras,38.6895,-9.29969,8.5234,3.57274,0.00034,1004.60684,-0.09825,0.0,-1.39495,9.88128,5.34147,12.71781,61.29767
underground,Oeiras,38.72516,-9.23438,46.35045,15.70763,0.35773,1003.49914,-0.57824,0.21374,-5.56072,27.54955,6.09758,257.2673,111.08607
underground,Maia,41.20192,-8.5577,34.03445,81.07574,0.2717,1007.54824,-0.7131,0.2281,-3.99278,24.18799,16.42363,0.0,101.1132
street_level,Arouca,40.93203,-8.24442,16.52273,2.6108,0.0,997.64256,0.11216,0.00745,-4.22822,28.49268,0.79151,10.17406,3.0
street_level,Porto,41.16557,-8.63907,16.96545,0.0,0.00506,1005.4159,-0.39044,0.00316,-0.9068,45.69209,-6.5248,0.0,3.0
street_level,Matosinhos,41.17708,-8.68126,8.38611,1.81015,0.0,1001.45945,0.12037,0.02734,2.89718,34.72369,-2.62296,16.68589,30.58452
street_level,Vila nova de Gaia,41.12983,-8.60943,11.5021,14.00136,0.0,1007.58462,0.83112,0.01264,8.74865,36.03525,1.81339,0.0,87.44076
above,Vila nova de Gaia,41.13045,-8.60815,30.37951,76.25095,0.02333,1004.66305,1.45207,0.35141,9.42925,35.79704,-9.60001,208.83232,42.89342
underground,Arouca,40.93208,-8.24617,44.24895,2.24438,0.29331,1003.05766,-0.50329,0.12573,-5.89317,24.08183,54.48473,492.67163,211.56174
underground,Oeiras,38.69638,-9.29166,26.62901,103.04163,0.46457,1002.77707,-0.49082,0.16067,-3.68298,35.22476,15.63015,0.0,95.00891
above,Porto,41.16005,-8.58336,46.3675,77.86555,0.00553,1001.44936,1.75475,0.13884,6.46971,24.61847,-5.71951,95.55132,61.42103
street_level,Maia,41.20334,-8.55892,14.23799,0.0,0.0,1002.88715,0.49851,0.0,-2.31835,44.84019,-5.52952,37.22104,3.0
street_level,Arouca,40.93096,-8.24711,6.79878,7.1395,0.0,1003.53114,0.72879,0.0,5.90557,27.44212,-0.23582,0.0,53.82229
street_level,Espinho,41.01172,-8.64071,16.48659,0.0,0.02185,997.3327,-0.0598,0.01419,0.99165,20.65713,5.6568,14.16252,3.0
street_level,Arouca,40.93088,-8.24739,7.83086,0.0,0.0,1000.54089,0.26976,0.0,1.6332,55.27801,-2.82889,0.0,3.0
underground,Espinho,41.01123,-8.63948,28.59128,90.72997,0.1522,1007.26339,-0.50827,0.0,-3.08272,52.15811,-74.12974,504.12669,3.0
above,Arouca,40.93089,-8.24745,81.91799,87.20282,0.01671,1005.09096,0.83445,0.1022,5.60947,64.47699,15.33462,214.94101,150.15627
street_level,Oeiras,38.71484,-9.23753,6.83841,16.3219,0.00297,1012.23561,0.55012,0.005,9.47524,20.98235,-4.20625,0.0,80.5449
street_level,Matosinhos,41.1737,-8.68078,11.29851,0.0,0.01489,1007.07755,-0.13629,0.02521,0.60799,40.69407,-3.7801,0.0,3.0
street_level,Porto,41.14674,-8.61112,9.30497,0.0,0.0,997.62348,-0.23616,0.0,-0.48444,22.77986,-2.80593,6.43627,3.0
street_level,Oeiras,38.70449,-9.22935,7.3389,0.0,0.00233,1008.68937,0.03014,0.00108,-0.69628,52.49826,-0.28271,0.0,3.0
street_level,Porto,41.17666,-8.60395,8.66124,8.28642,0.0,1000.02973,0.62764,0.01492,0.38262,39.60147,4.43642,0.0,74.54462
street_level,Oeiras,38.70853,-9.24313,9.36503,6.02066,0.0,1005.86436,0.4918,0.02044,5.41934,22.38697,-0.98964,0.0,86.46255
street_level,Vila nova de Gaia,41.12415,-8.60788,9.45467,0.0,0.0,1000.98103,-0.1285,0.0,-0.31099,69.49542,-0.00808,0.0,3.0
street_level,Matosinhos,41.17248,-8.68002,9.82501,0.0,0.0,1002.65818,0.22733,0.0,-4.67688,32.61738,4.31183,0.0,3.0
street_level,Arouca,40.93189,-8.24638,11.56805,0.0,0.0,1008.53805,-0.34216,0.0,0.23239,29.71297,-7.09002,17.98862,3.0
street_level,Oeiras,38.6808,-9.31929,15.2035,6.80822,0.0,1001.95334,0.02389,0.01168,-2.10685,42.66262,-6.94255,7.07187,3.0
street_level,Arouca,40.92916,-8.24625,16.55793,4.90838,0.0321,1005.72399,0.42115,0.0,2.22806,30.56137,-6.41019,4.63769,3.0
street_level,Matosinhos,41.16733,-8.68838,11.43087,0.0,0.02902,998.28008,-0.04735,0.0,0.1687,32.52024,-3.02934,7.29769,3.0
street_level,Oeiras,38.71284,-9.22295,17.17858,2.2055,0.0,1005.59731,-0.80616,0.00426,-2.5468,38.6409,5.20885,28.52318,3.0
street_level,Matosinhos,41.16741,-8.68806,14.82479,3.41686,0.03012,1010.26989,-0.16505,0.01431,-1.56303,38.93757,-6.60268,0.0,6.17162
street_level,Maia,41.2039,-8.55885,15.35472,0.0,0.0,1010.63059,0.24535,0.0,1.51023,30.66724,-1.89944,18.60724,12.57187
street_level,Porto,41.17584,-8.60054,6.52854,0.0,0.0,1006.04886,0.70879,0.00599,8.56768,24.97853,-0.49519,26.72632,17.14442
above,Maia,41.20231,-8.55868,48.33002,89.22986,0.0107,1005.87753,1.08599,0.17646,12.40254,40.1277,5.74248,0.0,37.58914
street_level,Oeiras,38.72847,-9.23717,2.2616,0.0,0.0101,1001.10427,0.21725,0.0,0.03781,52.09222,-0.36662,0.0,3.0
underground,Arouca,40.92955,-8.2474,15.85933,133.42315,0.34714,1003.59582,-0.54847,0.09911,-4.51647,32.04002,6.28224,91.11245,186.35387
above,Matosinhos,41.17175,-8.67824,52.88743,90.9077,0.0,1007.48422,1.00845,0.0,9.11541,50.12582,16.3175,226.87734,87.85806
underground,Maia,41.20212,-8.55748,46.66873,75.54636,0.22104,1001.88552,-0.59382,0.08546,-2.79429,44.39458,36.16703,237.24837,114.59426
street_level,Matosinhos,41.17287,-8.68913,20.0558,0.0,0.00882,999.15038,0.0419,0.0,-4.00228,40.76511,-6.0317,0.0,24.14215
street_level,Oeiras,38.68561,-9.32356,13.32557,0.0,0.0,1016.60899,-0.36198,0.01401,1.08398,52.71685,-0.72708,1.84643,28.25663
street_level,Porto,41.15756,-8.64307,12.22185,0.79591,0.0,1010.46168,0.20671,0.00654,-3.77891,27.64055,-4.59588,0.0,3.0
street_level,Oeiras,38.6977,-9.22792,15.44907,10.00241,0.00248,994.5456,-0.00245,0.02559,0.20009,35.20426,2.61695,0.0,3.38435
street_level,Matosinhos,41.17218,-8.68073,15.82077,8.0115,0.00802,1011.17473,0.02343,0.0,-0.668,43.20637,-0.5785,26.13854,3.0
street_level,Oeiras,38.71566,-9.22548,15.10817,4.91414,0.0121,996.17432,0.25654,0.0,-3.36723,27.22346,2.59296,6.28841,14.82149
street_level,Espinho,41.00408,-8.63788,11.36296,5.63661,0.04828,1007.28288,0.37742,0.01442,-0.62968,39.77544,-7.79362,24.65526,3.0
street_level,Vila nova de Gaia,41.13231,-8.61464,12.18154,7.78741,0.02842,1006.3991,-0.28813,0.0,0.66975,27.5549,-1.39521,0.0,3.0
street_level,Oeiras,38.70146,-9.23135,14.36639,0.0,0.0043,1000.46087,-0.32315,0.0,4.08135,14.41029,5.23089,12.54915,3.76387
above,Arouca,40.93079,-8.24708,69.53326,88.2569,0.00705,1007.04769,0.43038,0.05396,3.64536,58.92473,23.50807,167.53489,111.38091
street_level,Oeiras,38.69939,-9.23186,7.21461,1.44722,0.0,1000.45402,0.46635,0.02103,8.62401,45.75328,4.56107,0.0,27.4508
street_level,Matosinhos,41.17364,-8.68845,5.1635,5.59367,2e-05,1004.80871,0.17702,0.0,7.02531,32.35202,0.11304,3.52521,59.1281
above,Espinho,41.00828,-8.63811,54.35092,70.61764,0.02839,1003.36776,1.45925,0.38995,14.05541,27.24053,-13.37732,84.08114,15.60757
underground,Matosinhos,41.1748,-8.68266,47.61964,66.31658,0.39057,1005.26628,-0.51003,0.08467,-5.53008,43.96152,-1.43837,0.0,149.1359
above,Porto,41.14878,-8.62562,56.48361,94.5015,0.0039,1004.44123,0.69459,0.10669,6.25248,49.43047,9.00074,203.09996,45.57361
street_level,Matosinhos,41.16797,-8.68925,15.92839,0.0,0.0,1002.62969,0.0532,0.00758,-0.68618,33.90426,-4.73267,0.0,3.0
underground,Maia,41.20229,-8.55958,26.20709,91.1088,0.33587,1002.85731,-0.59305,0.07533,-4.9652,18.1378,5.39523,115.26551,58.56482
street_level,Arouca,40.92973,-8.2476,10.95449,2.43864,0.01997,1004.67643,0.01738,0.0055,-3.87744,42.24471,4.6118,0.95147,3.0
street_level,Oeiras,38.70227,-9.2289,15.56024,0.0,0.0,1010.17184,-0.36935,0.0,0.50135,25.91022,-5.78095,0.21063,16.48323
above,Porto,41.15537,-8.59861,62.20455,101.72105,0.0,1004.33987,1.13867,0.09402,9.14409,35.65252,-0.84134,173.4605,8.64262
street_level,Espinho,41.00399,-8.63819,16.95934,0.0,0.0,1004.81141,0.25579,0.0,-0.91108,37.86036,-1.79368,41.39387,3.0
above,Vila nova de Gaia,41.133,-8.61587,49.44509,82.73248,0.0,1001.55123,1.48384,0.34654,7.33033,20.9829,-12.76098,94.74188,10.65025
